Data Source	World Development Indicators																																																												
																																																													
Last Updated Date	3/23/17																																																												
																																																													
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	avg	2015	2016
Brunei Darussalam	BRN	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS											6.239150047	4.995019913	4.039289951	8.793290138	3.39270997	1.961339951	1.970080018		2.114239931	1.545519948	1.191079974	1.616780043	1.697149992					4.737730026	5.409029961	4.69012022	3.959959984	3.668940067	3.747689962	4.29403019					5.253950119	4.932050228	3.705909967										2.046610117	3.681080103	3.207040071		3.765949965	3.175170064		
Bhutan	BTN	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS																																									5.513790131	5.71780014			6.417990208	7.078100204			4.797500134	4.626719952	4.024469852	4.652579784		5.589660168	5.903349876	5.386296272		
Botswana	BWA	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS												4.387239933	3.906389952	3.262789965	3.674240112	5.649429798	6.063960075	5.40031004	5.952139854	6.141729832	5.46931982			5.552269936	5.551660061	5.650720119	5.185929775	6.117730141	6.151110172		5.739630222		6.840610027													10.67858982		8.851490021		9.632920265						9.721000036		
Central African Republic	CAF	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS																			3.170530081								2.207750082	2.548049927			2.244199991	2.276309967								1.690019965	1.612650037		1.519569993	1.539790034	1.624529958	1.636379957	1.415060043	1.312890053	1.290019989	1.303560019	1.204550028	1.228620052				1.376951262		
Canada	CAN	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS												7.721950054	7.627029896	7.048230171	6.699830055	6.45277977	6.731239796	6.743800163	7.10848999	6.724989891	6.494559765	6.440420151	6.529079914	6.881609917	6.648499966	6.238939762	6.074100018	6.354489803	6.209199905	6.114429951	6.007050037	6.906569958	6.793980122	7.733500004	6.707180023	6.347959995			5.527400017	5.55328989	5.456170082	4.988629818	5.035789967			4.804669857		4.797359943	4.660870075	4.873139858	5.371150017	5.27244997				4.963273287		
Central Europe and the Baltics	CEB	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS																																				4.66438508	4.354340076		4.980450153	4.605949879	4.873390198	5.08804512	5.186319828	5.073150158	4.85972023	4.844850063	4.770020008	4.590549946	4.92054987	4.99571991	4.799429893	4.628779888	4.643750191			4.783707778		
Switzerland	CHE	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS																					4.371240139	4.332950115	4.401350021	4.508719921	4.364120007	4.309939861	4.346539974	4.301390171	4.367939949	4.277450085	4.534289837	4.692379951		5.104849815	5.06799984	5.072130203	5.079179764		4.888150215	4.890709877	4.788360119	4.959849834	5.319379807	5.53839016	5.454339981	5.218840122	4.98153019	4.711979866	4.892849922	5.059669971	4.947869778	4.993420124	5.053309917			5.034867764		
Channel Islands	CHI	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS																																																								#DIV/0!		
Chile	CHL	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS															3.913969994	3.791589975			3.188189983	3.662780046	4.444129944	5.195049763						3.006089926			2.361030102			2.463870049	2.596270084	2.640110016	2.88003993	3.090430021	3.432889938	3.840529919	3.705980062		4.009469986	3.851599932	3.48845005	3.225080013	3.02380991	3.223530054	3.792680025	4.241290092	4.181200027	4.068099976	4.574059963	4.557439804		3.837563992		
China	CHN	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS												1.406200051	1.626620054	1.672240019	1.78500998	1.732560039	1.844280005	1.775820017	1.974140048	2.16534996	1.927010059	1.963819981	2.049880028	2.092679977	2.013060093	2.021260023	2.075020075	1.815039992	1.773450017				1.662279963	1.664800048	1.993000031	1.848250031	1.859640002		1.851109982	1.895930052																#DIV/0!		
Cote d'Ivoire	CIV	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS											5.865389824		7.531859875	7.045609951	5.69039011	6.785739899	6.462120056		6.753670216	8.231389999	6.859759808												6.781139851	6.50304985	4.78869009	4.301449776	4.056230068	4.030889988	3.787940025	4.094329834	3.703670025	3.668679953	4.090330124	3.967989922	4.127860069	4.105750084	4.114779949	4.297420025	4.448979855						4.719470024	4.302376668		
Cameroon	CMR	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS												3.079869986	3.363889933										2.984970093	3.496890068	3.246370077		2.848340034	2.93091011	2.714730024	2.648960114	3.287100077	3.220230103	2.750999928								1.932579994	2.609950066		3.30182004	3.32991004	3.12322998	2.955679893	3.366250038	2.956870079	3.460069895	3.31317997	3.052900076	2.965389967	3.028340101		3.155182004		
"Congo, Dem. Rep."	COD	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS																					2.267309904	2.535049915	2.799819946	1.29945004	0.704140007	0.825699985	0.722500026	0.861199975	0.814840019																						1.60244			2.244750023		1.923595011		
"Congo, Rep."	COG	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS											5.732299805	5.55095005		5.23845005		7.743020058			8.413310051	7.03813982	6.359240055														6.373119831	4.910339832			4.068270206				3.208319902	2.836159945	2.288130045	1.835770011					6.220789909					3.448229988		
Colombia	COL	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS																				1.754340053	1.729120016	2.597239971			3.004290104	2.715270042				2.705250025									3.926450014	4.44080019	3.511209965	3.708679914	4.268129826	4.325139999	4.079349995	3.995009899	3.893320084	4.058700085	3.909800053	4.747429848	4.826159954	4.45980978	4.385310173	4.904900074	4.670800209	4.357326378		
Comoros	COM	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS																																							3.782540083				3.880589962						7.794169903			5.109330177	5.071119785			5.991539955		
Cabo Verde	CPV	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS																																							6.391769886	6.801680088			7.876820087		7.476640224		6.529600143	5.407529831	5.518020153	5.308959961	5.567269802	5.043610096		5.036930084		5.736070037		
Costa Rica	CRI	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS																					7.347169876		4.885069847	3.923340082			3.565799952		3.054140091	3.118499994						3.31159997	3.836580038			4.867889881	4.393949986	4.706130028	5.069250107	5.061669827	4.894589901		4.654419899	4.733570099	5.044829845	6.289120197	6.811810017	6.615880013	6.862979889	6.920050144	7.011640072	5.983889008		
Caribbean small states	CSS	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS														3.631439924	4.248970032	5.228789806	5.858329773	6.026519775			3.768059969		5.560279846	5.739990234	5.874609947	5.579795122	4.603980064		3.940860033	4.691940069	4.216619968	4.383069992	3.336659908	3.214030027	3.976029873	3.650339961	3.704924941	4.143095016	2.438920021	2.756119967	3.885365009	4.24003005	4.4857651	3.696724892	3.912549973	4.616419792		5.49022007	6.191319942	6.19851017	6.37130022	6.267680168	6.119470119	6.259880066	6.026060104	5.745341063		
