Data Source	World Development Indicators																																																												
																																																													
Last Updated Date	3/23/17																																																												
																																																													
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	avg	2016
Finland	FIN	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																									#DIV/0!	
Fiji	FJI	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																									#DIV/0!	
France	FRA	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																									#DIV/0!	
Faroe Islands	FRO	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																									#DIV/0!	
"Micronesia, Fed. Sts."	FSM	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																									#DIV/0!	
Gabon	GAB	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																		72.2336731											81.84552002								82.28379822			83.23787689	82.76083755	
United Kingdom	GBR	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																									#DIV/0!	
Georgia	GEO	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																											99.65235138												99.75224304	99.75962067	99.75593185	
Ghana	GHA	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																									57.89746857										71.49707031					76.57589722	74.03648376	
Gibraltar	GIB	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																									#DIV/0!	
Guinea	GIN	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																					20.55374908							29.70401955							25.30773926					30.47278976	27.89026451	
"Gambia, The"	GMB	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																									36.81772995														54.3875618	55.57276154	54.98016167	
Guinea-Bissau	GNB	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																				19.95825005																					41.35776901														58.72932053	59.77285004	59.25108528	
Equatorial Guinea	GNQ	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																									88.3082962														94.95674133	95.19566345	95.07620239	
Greece	GRC	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																						90.51232147										92.61045074										95.99436188													97.53237915	95.29286957	96.41262436	
Grenada	GRD	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS											97.79447174																																														#DIV/0!	
Greenland	GRL	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																									#DIV/0!	
Guatemala	GTM	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																			64.2116394								69.10173035										78.26486206	77.0386734	81.2858963	79.07421112	78.91591072	
Guam	GUM	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																					96.42064667										99.36914825																									99.78903961	99.78903961	
Guyana	GUY	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																		84.99401093						87.53531647	87.53531647	
High income	HIC	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																									#DIV/0!	
"Hong Kong SAR, China"	HKG	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																									#DIV/0!	
Honduras	HND	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																										80.0110321						83.58898926			84.75536346	85.12330627	85.35555267	85.4644165	87.19753265	88.42458344	86.05345917	
Heavily indebted poor countries (HIPC)	HPC	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																															45.42024231										52.22107315										57.83716583						57.83716583	
