Data Source	World Development Indicators																																																												
																																																													
Last Updated Date	3/23/17																																																												
																																																													
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	avg	2015	2016
Chile	CHL	Expenditure on education as % of total government expenditure (%)	SE.XPD.TOTL.GB.ZS																																						14.44519043	15.12567997	15.63321972	16.40147972		17.40727043	17.60467911	16.97488022	16.1222496	16.15792084	16.64837074	17.47809029	17.18869972	17.51394081	17.5041008	19.27809906	19.07084084		17.39371929		
China	CHN	Expenditure on education as % of total government expenditure (%)	SE.XPD.TOTL.GB.ZS																																							14.55138016	12.63152981																#DIV/0!		
Cote d'Ivoire	CIV	Expenditure on education as % of total government expenditure (%)	SE.XPD.TOTL.GB.ZS																																						19.22014999	18.81476974	21.67118073	20.80694962	23.20203018	22.59234047	22.64823914	22.10709	21.84565926	20.50639915	21.86688042	21.94257927						20.67384911	21.49040953		
Cameroon	CMR	Expenditure on education as % of total government expenditure (%)	SE.XPD.TOTL.GB.ZS																																									11.68371964	15.48908997		21.44199944	20.84712982	21.37754059	20.31262016	21.56826019	15.58866024	19.77975082	18.75391006	14.86779022	15.17625046	13.82493973		18.20968523		
"Congo, Dem. Rep."	COD	Expenditure on education as % of total government expenditure (%)	SE.XPD.TOTL.GB.ZS																																																			8.976449966			16.83460999		12.90552998		
"Congo, Rep."	COG	Expenditure on education as % of total government expenditure (%)	SE.XPD.TOTL.GB.ZS																																							14.12652969				11.59276962	9.519949913	8.56180954	7.597819805					29.01843071					15.05935335		
Colombia	COL	Expenditure on education as % of total government expenditure (%)	SE.XPD.TOTL.GB.ZS																																							12.47535992	13.15192986	13.28682995	13.46772003	15.29955959	15.53726006	15.43978024	15.5356102	13.7688303	14.48145008	14.67730045	16.08116913	16.4185791	15.52914047	15.51282978	16.91362	15.85781002	15.47419271		
Comoros	COM	Expenditure on education as % of total government expenditure (%)	SE.XPD.TOTL.GB.ZS																																							17.1350708				15.78971958						29.23311996			21.41486931	18.49151039			23.04649989		
Cabo Verde	CPV	Expenditure on education as % of total government expenditure (%)	SE.XPD.TOTL.GB.ZS																																							17.25592041	16.76194			19.76622963		20.8404808		17.54058075	18.32875061	18.6230793	16.16892052	14.39624023	15.15328026		14.97774029		17.0036341		
Costa Rica	CRI	Expenditure on education as % of total government expenditure (%)	SE.XPD.TOTL.GB.ZS																																								21.9236908	18.81950951	19.15282059	19.2404995	20.15172005	20.43088913		20.64333916	21.02189064	20.81096077	23.40822029	22.88088989	23.00962067	23.50156021	22.83090973	23.1095295	22.164781		
