Data Source	World Development Indicators																																																												
																																																													
Last Updated Date	3/23/17																																																												
																																																													
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	avg	2015	2016
Denmark	DNK	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																							37.16648865	37.2645607	37.21644974	33.88396072	34.84693146	33.90776825	34.46099091	34.24398041	33.52090073	31.3379097	30.51287079	32.02684021	32.73163986	29.4435997				32.28484154		
Dominican Republic	DOM	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																													3.27083993	4.960380077		3.802510023	6.01113987	6.930049896	6.458179951	6.637090206	8.143440247	14.35997963	14.42584038	7.499945021		
Algeria	DZA	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																								21.16064072	17.44382095		17.90200043	17.92787933												#DIV/0!		
East Asia & Pacific (excluding high income)	EAP	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																																								#DIV/0!		
Early-demographic dividend	EAR	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																																								#DIV/0!		
East Asia & Pacific	EAS	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																																	14.50714016							14.50714016		
Europe & Central Asia (excluding high income)	ECA	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																																								#DIV/0!		
Europe & Central Asia	ECS	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																											24.3689003	24.32286072	24.89155006	24.03853035	23.9391098	22.99666977	26.20152092	28.32213974	27.29491997	26.01420975				25.4623313		
Ecuador	ECU	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																								8.29117012	5.363669872										14.3233099	17.01000977	14.43762016	17.96804047	6.270500183	14.0018961		
"Egypt, Arab Rep."	EGY	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																																								#DIV/0!		
Euro area	EMU	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																							22.27547073	24.35956001	22.8715992	24.16467571	24.3479147	23.18285942	24.89155006	24.46269035	24.65330029	23.70022011	26.46442986	28.7841301	28.13545513	26.90149021	24.98283005			25.88623291		
Eritrea	ERI	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																										32.75656891	30.95586014		13.90941048											13.90941048		
Spain	ESP	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																							23.57925034	23.78314972	22.66153908	22.05662918	22.83036995	23.18285942	23.21299934	22.88599014	23.46747971	23.70022011	25.37822914	27.6128006	26.05537987	25.89237976		22.46968079		24.51946216		
Estonia	EST	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																							22.27547073	27.16098022		25.1552906	25.0549202	26.16629982	24.89155006	23.04910088		22.93952942	28.77094078	32.12688065	30.97332954	26.7464695	26.53418922			27.00399876		
Ethiopia	ETH	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																																		23.02054024	22.80954933	27.07045937	26.72370911			24.90606451		
European Union	EUU	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																							21.24376583	23.78314972	23.04931927	23.64153481	24.05204964	23.18285942	23.38672066	23.28644085	23.46747971	22.99666977	26.33297539	28.66576958	27.86176491	26.32756519	23.98744965			25.14587063		
Fragile and conflict affected situations	FCS	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																																								#DIV/0!		
Finland	FIN	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																								24.93597031	23.22703934	24.30857086	25.32815933	25.99888039	31.06665993	30.83827019	30.50341034	29.59148026	30.83061981	34.36907959	34.89649963	34.70222855		10.83695984		29.73724535		
Fiji	FJI	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																													16.1201992							5.718840122				10.91951966		
France	FRA	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																								28.68251991	28.28092957	28.19174004	28.39384079	29.75848961	29.18219948	27.12708092	27.12290955	26.55656052	26.99988937	28.66576958	28.33782959	27.1662693	26.88364983			27.56023979		
Faroe Islands	FRO	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																																								#DIV/0!		
"Micronesia, Fed. Sts."	FSM	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																																								#DIV/0!		
Gabon	GAB	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																																								#DIV/0!		
United Kingdom	GBR	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																							24.33794975	22.53215981	23.31244087	23.26228905	25.02045059	26.39217949	25.03289032	24.55327988	25.54854965	26.65633011	27.51538086	29.56492996	32.27693176	30.06712914		22.37783051		27.06591691		
Georgia	GEO	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																																	15.49384022							15.49384022		
Ghana	GHA	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																										39.72212982			41.98670959	37.67226028	29.58241081	26.76708031	26.2242794	26.10508919		25.84194946	38.40288925	32.45737839		31.6711163		
Gibraltar	GIB	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																																								#DIV/0!		
Guinea	GIN	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																																	6.702539921			11.6519804	10.04520035			9.466573556		
"Gambia, The"	GMB	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																																	13.89692974	12.3018198	13.22770977					13.1421531		
Guinea-Bissau	GNB	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																																								#DIV/0!		
Equatorial Guinea	GNQ	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																																								#DIV/0!		
Greece	GRC	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																							13.09177971	14.60184002	19.36104012	17.53272057	16.96525002	19.29544067	19.60252953	20.85934067										20.2309351		
Grenada	GRD	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																												9.652230263												#DIV/0!		
Greenland	GRL	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																																								#DIV/0!		
Guatemala	GTM	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																									4.44754982	5.458089828	4.153110027		4.41505003	4.501450062	5.027299881	6.115580082	6.378789902		5.652800083	4.948110104	5.212200165	5.501989841		5.305918905		
Guam	GUM	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																																								#DIV/0!		
Guyana	GUY	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																																10.28734016		9.851280212	11.43163013	10.46961975	9.373040199			10.28258209		
High income	HIC	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																							21.36775017	22.53215981	21.90555477	22.98877907	22.83036995	22.71423054	23.18194485	22.15155983	22.92025471	22.8075304	23.94148064	25.2442894	25.75790977	24.12105942	23.82302094			23.77211666		
"Hong Kong SAR, China"	HKG	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																											17.57670975	19.06970978	20.23283005	19.03142929	17.33309937	15.79267025	14.94756031	16.04725075	17.11237907	17.33410072	17.1145401	18.68041039	19.32645988	17.54115729		
Honduras	HND	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																																						18.14676094		18.14676094		
Heavily indebted poor countries (HIPC)	HPC	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																																								#DIV/0!		
Croatia	HRV	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																																								#DIV/0!		
Haiti	HTI	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																																								#DIV/0!		
Hungary	HUN	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																							18.02103043	18.67033005	20.10424995	19.52910042	20.51351929	26.18306923	23.15089035	22.70693016	22.86182976	22.99666977	22.53882027	22.27796936	21.37586021	20.57718086	19.6713295			22.0174978		
IBRD only	IBD	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																																				16.23751545				16.23751545		
